Price,Area,Locality,Year
6075000,1490 sqft,"InfocityExcellenceandElegance,Nallagandla,Serilingampally",2018-2019
6075000,1450 sqft,Mehdipatnam,2018-2019
3645000,1200 sqft,"AparnaKanopyTulip,Kompally",2018-2019
8505000,1870 sqft,"SumukhiOrbit,Madhapur",2018-2019
8262000,1756 sqft,"ProjectHillRidgeSprings,Gachibowli,OuterRingRoad",2018-2019
6318000,1500 sqft,"GayatriHills,JubileeHills",2018-2019
3645000,1360 sqft,"EmeraldHeights,Nizampet",2018-2019
3888000,1160 sqft,"NewDilshukhNagar,NH",2018-2019
3402000,1450 sqft,MaruthiNagar,2018-2019
2430000,950 sqft,"Hayathnagar,NH",2018-2019
8505000,2200 sqft,Kondapur,2018-2019
2551500,670 sqft,"Quthbullapur,NH",2018-2019
8748000,3000 sqft,Puppalaguda,2018-2019
4374000,1200 sqft,Puppalaguda,2018-2019
4374000,1933 sqft,"ModiSplendour,Kukatpally,NH",2018-2019
6318000,2200 sqft,Attapur,2018-2019
4374000,1933 sqft,"ModiSplendour,Kukatpally,NH",2018-2019
2478600,900 sqft,"Quthbullapur,NH",2018-2019
3523500,900 sqft,Borabanda,2018-2019
4374000,1650 sqft,"Miyapur,NH",2018-2019
5589000,1850 sqft,"Manikonda,OuterRingRoad",2018-2019
8748000,1650 sqft,"AshokaLiviano,Gachibowli,OuterRingRoad",2018-2019
6075000,2000 sqft,"AlHasnathColony,ToliChowki",2018-2019
2187000,1477 sqft,Narapally,2018-2019
10935000,1690 sqft,"GachibowliCUC,OuterRingRoad",2018-2019
3159000,1100 sqft,"NewBowenpally,NH",2018-2019
7290000,1850 sqft,Shaikpet,2018-2019
6075000,1925 sqft,"Hafeezpet,NH",2018-2019
4131000,1600 sqft,UppalMetro,2018-2019
4131000,1750 sqft,Bowenpally,2018-2019
4860000,1700 sqft,Nizampet,2018-2019
8505000,1782 sqft,"ITHeights,KhajaGuda,OuterRingRoad",2018-2019
3645000,1450 sqft,Bowenpally,2018-2019
2430000,954 sqft,"ModiEmeraldHeights,Pocharam,NH",2018-2019
3888000,1933 sqft,"ModiSplendour,Gajularamaram",2018-2019
7776000,1700 sqft,"PranavSuryaPlanet,Kothaguda",2018-2019
3402000,1008 sqft,"Miyapur,NH",2018-2019
3645000,1100 sqft,"Chandanagar,NH",2018-2019
2065500,1140 sqft,"Lalaguda,Secunderabad",2018-2019
1944000,1477 sqft,"LBNagar,NH",2018-2019
2430000,1350 sqft,"SriSaiRamResidency,Beeramguda,RamachandraPuram,NH",2018-2019
3645000,900 sqft,GayathriNagar,2018-2019
7047000,1745 sqft,"ConcretePalazzo,Nacharam",2018-2019
